FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,IMD_Shape__Area,IMD_Shape__Length
3454,E01003625,Newham 015A,,543141,184552,51.5417,0.06273,78839971-a2bc-47e5-b1c0-a57152cdeaae,3640.301713,318912.8923,3640.301713,0.06273,0,625.8927257,1,0,0,42.3,8697,3,28.623,8697,3,0.14,11454,4,0.082,15927,5,17.968,15152,5,-0.289,20492,7,0.48,9343,3,817064.4452,5661.346114
3455,E01003626,Newham 015B,,542883,184414,51.5406,0.058957,6ab54e70-1e33-4636-ba0b-df30e87d6c94,1617.975951,102569.7356,1617.975951,0.058957,1.5,266.9340759,0.41,0.59,1.045,42.3,11413,4,23.921,11413,4,0.111,14855,5,0.072,18345,6,10.116,21708,7,0.005,15934,5,0.111,14963,5,262439.7403,2519.411108
3456,E01003627,Newham 015C,,542891,184141,51.5381,0.058961,72bf218b-2198-4ce5-9633-cebf0f261a66,1673.364415,76271.98174,1673.364415,0.058961,0,446.9799303,0.71,0.29,0.145,42.3,8805,3,28.43,8805,3,0.193,7119,3,0.087,14862,5,18.591,14705,5,0.161,13600,5,0.11,14980,5,198264.1941,2561.432712
3457,E01003628,Newham 015D,,543160,184049,51.5372,0.0628,6d8df474-b7cb-4f6c-8f4f-16436c241c89,2005.905125,92848.32485,2005.905125,0.0628,0,400.7627454,0.63,0.37,0.185,42.3,13234,5,21.405,13234,5,0.125,13158,5,0.06,21567,7,11.355,20556,7,-0.332,21156,7,0.231,13022,4,240208.52,3030.770594
3458,E01003629,Newham 015E,,542671,184031,51.5372,0.055747,1aa512d5-8de2-4deb-beef-61f58660c302,1149.62164,65132.94456,1149.62164,0.055747,0,272.3840772,0.42,0.58,0.29,42.3,9618,3,26.957,9618,3,0.163,9361,3,0.069,18936,6,17.232,15644,5,-0.375,21801,7,-0.109,18265,6,165657.894,1780.737115
3389,E01003552,Newham 016A,,540201,184627,51.5431,0.020394,ae3a4f89-716e-4871-9178-ca10648e2c3b,1957.519894,106435.4352,1957.519894,0.020394,19,277.8549564,0.43,0.57,9.785,47.7,8113,3,29.808,8113,3,0.175,8444,3,0.112,10770,4,16.287,16340,5,-0.134,18130,6,0.301,11917,4,279019.5434,2868.339812
3433,E01003596,Newham 016B,,540174,183795,51.5357,0.019674,b21f1e68-b2bf-4bde-ae7b-d964237908e0,2620.810812,111756.023,2620.810812,0.019674,78,31.25721445,0.02,0.98,39.49,47.7,10626,4,25.24,10626,4,0.146,10897,4,0.074,17741,6,17.976,15146,5,0.08,14816,5,0.152,14265,5,286210.3262,4040.823989
3434,E01003597,Newham 016C,,540535,183731,51.535,0.02485,778562db-4f0d-4026-b405-aff962e0d66d,1719.336137,89695.70461,1719.336137,0.02485,57,168.2828411,0.25,0.75,28.875,47.7,10384,4,25.676,10384,4,0.169,8831,3,0.079,16627,6,18.282,14934,5,-0.29,20503,7,0.114,14915,5,232635.199,2486.418632
3464,E01003635,Newham 016D,,539940,184058,51.5381,0.016407,5e820211-32e2-4068-a15e-7ca774fb4ec2,3748.525576,396524.8893,3748.525576,0.016407,45,199.37955,0.3,0.7,22.85,47.7,10995,4,24.619,10995,4,0.128,12721,4,0.083,15608,5,10.884,21003,7,-0.495,23352,8,1.066,3021,1,1015312.846,5740.880161
3405,E01003568,Newham 017A,,540862,183816,51.5357,0.029595,ccfc64fc-7534-46d8-aae8-e9385ed21849,1608.013805,109774.6349,1608.013805,0.029595,28,226.5930891,0.34,0.66,14.33,47.2,11361,4,24.045,11361,4,0.139,11601,4,0.081,16157,5,12.708,19307,6,-0.06,16944,6,0.079,15430,5,279670.4391,2463.300763
